path,category,method,level,checksum,size_bytes
ecss-ml-assurance-workbench/docs/ARCHITECTURE_WEEK6.md,Architecture Verification Evidence,Review,Document,14689ce1dc57c9b1a5cfce9492a9c200570d9b9bdbb16062c8bf5aa136fcb421,844
ecss-ml-assurance-workbench/docs/ASSURANCE_RULES.md,Review Evidence,Review,Document,8803c59df5e498cf23369b096f34ab5ea9223a6d259430480a6d6c3b1d397298,2400
ecss-ml-assurance-workbench/docs/DEPLOYMENT_GATE.md,Review Evidence,Review,Document,43c10f69c03d487ff1413a2f07dc007baa307860a555dfaac9ee8a84d1d14231,554
ecss-ml-assurance-workbench/docs/DEPLOYMENT_GUIDE.md,Review Evidence,Review,Document,e3f1a09683d323b4c3707c46653e22ee812a07b95919214d38888b18e15f5e43,774
ecss-ml-assurance-workbench/docs/MONITORING_GUIDE.md,Review Evidence,Review,Document,ac5cafb681317e2d8842db9c05dc4c9ffcd73e807b3fd620ad7906b5c626d7d6,461
ecss-ml-assurance-workbench/docs/PACKAGE_VALIDATION.md,Review Evidence,Review,Document,9795693b95f1938d19eea26ce3513630b4fb624703e7d3d97b8734d00f50d95a,736
ecss-ml-assurance-workbench/docs/PERFORMANCE.md,Resource Budget Evidence,Analysis,Software Item,a5200ba3bd778286a13192dad252145c8b86af89671ebebf0d7466782b77a056,762
ecss-ml-assurance-workbench/docs/SECURITY_REVIEW.md,Review Evidence,Review,Document,676e89176ac32a902accb8d35c9773c49c1375847384740ee4db9b16e7d2b8b9,606
ecss-ml-assurance-workbench/docs/WEEK_5_IMPLEMENTATION_REPORT.md,Review Evidence,Review,Document,2a25c863bb8cbacdd3afa1996c70a56cf6a377b09dac1caf8f70914501fba796,886
ecss-ml-assurance-workbench/docs/WEEK_7_IMPLEMENTATION_REPORT.md,Review Evidence,Review,Document,118e0656e55775c7f7a8081cebc0a8c35e9eede45b3fe0f2e2946df05e29c372,1038
ecss-ml-assurance-workbench/docs/accessibility-review.md,Review Evidence,Review,Document,93e7c66b16c845bb53f18420c5fa08be71ae3a2360977ce8758dbf410ad5e8ca,713
ecss-ml-assurance-workbench/docs/adr/0001-normalized-assurance-data-model.md,Architecture Verification Evidence,Review,Document,f657f943d8b3efae15b11fdb30e5c2b99f21907f4379d3cb1dd2fc00feac9b72,297
ecss-ml-assurance-workbench/docs/adr/0002-deterministic-gap-rules.md,Architecture Verification Evidence,Review,Document,fc1d875930acfc085c915a8f581138d9e2f608363c965cc989acc5431d96a107,216
ecss-ml-assurance-workbench/docs/adr/0003-recommendation-vs-approval.md,Architecture Verification Evidence,Review,Document,a6bf7f2b418089329673b5c0f0a3fd761e7dddcb6c58c4f904495f27abb03ac8,225
ecss-ml-assurance-workbench/docs/adr/0004-evidence-package-format.md,Architecture Verification Evidence,Review,Document,b63593b8ed50341d2ec432f5461148bdd7140213c95f251300f7ec0e48c1600f,224
ecss-ml-assurance-workbench/docs/adr/0005-synthetic-demo-data-separation.md,Architecture Verification Evidence,Review,Document,50a278a74d462bbf727f1496c6a4f3ed2ab00a2671da9334ba88b1fbd0a44a26,333
ecss-ml-assurance-workbench/docs/adr/0006-file-system-security-boundaries.md,Architecture Verification Evidence,Review,Document,fd7680b53e1b741c0276f17d93dee6cc51cd297b2c7aec198d62c54d180f8cc5,250
ecss-ml-assurance-workbench/docs/adr/0007-output-directory-strategy.md,Architecture Verification Evidence,Review,Document,74ca594ccb21768c147291925af6c3d938604b8f5e9cee73bb3bc15be40f34b6,270
ecss-ml-assurance-workbench/docs/api.md,Review Evidence,Review,Document,9a19268666d9cbedc2211bbbcc7860dec2b50271a10a198d2f5cbeca6c4849ec,4633
ecss-ml-assurance-workbench/docs/architecture.md,Review Evidence,Review,Document,0a80da584d52a6f181a354636193e3317101f1c73d9fea43e82783ae40320cdf,4720
ecss-ml-assurance-workbench/docs/assurance-registry.md,Review Evidence,Review,Document,231f1df2b9c571f802fda564a65ec0b23bdd1272765a94eecbf589da921e55ff,5220
ecss-ml-assurance-workbench/docs/cv-maintenance.md,Review Evidence,Review,Document,69e4d9ed87f3f3b033558b45c885c147ab4361edff6eb85f6eb189400712501a,585
ecss-ml-assurance-workbench/docs/data-readiness-methodology.md,Review Evidence,Review,Document,0a2140077f9c99ab4be871cc9d4b6a11e42cb733ccbaf6725b86a8bdc9b36b3a,3742
ecss-ml-assurance-workbench/docs/deployment-decision-method.md,Review Evidence,Review,Document,b550df7ceffa7cecec668dfa1b0275b4ffb58f60176721c25ea358361fc06f8b,1924
ecss-ml-assurance-workbench/docs/deployment-guide.md,Review Evidence,Review,Document,e4ae8464afa533d35f735e410c3bedd141f3910cbe469709e31b9b727fc60441,813
ecss-ml-assurance-workbench/docs/evidence-package-schema.md,Review Evidence,Review,Document,cbf9d88374f938a03f507a4ec6c8d6f534c6f01360376d9ff0fcc66dbdf8273b,3727
ecss-ml-assurance-workbench/docs/known-limitations.md,Review Evidence,Review,Document,bc8660ef4af992ae89649f6c59a0c0c2362a0f832a3ecb38e7c3cb9cfcd7dee3,3839
ecss-ml-assurance-workbench/docs/portfolio-content-architecture.md,Review Evidence,Review,Document,4566445dff800c07ddb341a2785f95ae295b43be051e0d1933e870a4cfe753c5,789
ecss-ml-assurance-workbench/docs/publication-workflow.md,Review Evidence,Review,Document,7fd517304af4ae4c33ad2f618ec3c9b9546b9d41dabac679ad37e638e40ade10,600
ecss-ml-assurance-workbench/docs/release-checklist.md,Review Evidence,Review,Document,dc6d9660ab13fbb3c9044bfa2fbdaa6c800a6ad6e6a85b859fec57acfab434f9,1304
ecss-ml-assurance-workbench/docs/residual-risk-method.md,Review Evidence,Review,Document,1d4b303978445565879aa5183d6b64f049ba616d8469653e8e2d1ece571be9cb,1053
ecss-ml-assurance-workbench/docs/security-evidence-package.md,Review Evidence,Review,Document,ae190e64fd515dc4c0ce852522a41c614fce6e1b247164c2f8d7f6e49956afa7,1505
ecss-ml-assurance-workbench/docs/security-review.md,Review Evidence,Review,Document,29d52395461fce7a17634f46b505b23a3e8f4b845f0df93e620580c0833cc60f,812
ecss-ml-assurance-workbench/docs/seo-and-metadata.md,Review Evidence,Review,Document,8f403aa2ad2365fcf63fb1b9c168ae02362e5e2ae313cf73c5fb4ca6667dd3cd,457
ecss-ml-assurance-workbench/docs/test-plan-week-3.md,Review Evidence,Review,Document,041a5f07557997ac105c944920a1d2e5b015bf50bda5fbe38cec413ed0b0df54,1654
ecss-ml-assurance-workbench/docs/test-plan-week-4.md,Review Evidence,Review,Document,de4ae2589f7e69dedbfd89ee97b504dd8e1204dd003b5ef002112ebce717d08b,666
ecss-ml-assurance-workbench/docs/test-plan.md,Review Evidence,Review,Document,adaf6db291b15ff39fc6cc77e2b266ded2aafb86c151f2a0c1b75aae9210ac55,2740
ecss-ml-assurance-workbench/docs/traceability-model.md,Review Evidence,Review,Document,cbfe9de657dca682f3dca1b0cb9182315c0fb417de2b4de2f57bd189c99d7b60,1561
ecss-ml-assurance-workbench/docs/week-3-project-integration.md,Review Evidence,Review,Document,00405a772ba3e657ef778fdb51ee7ec68e81697941af5ccdc1bd24da5807ad86,4001
ecss-ml-assurance-workbench/docs/week-4-professional-launch.md,Review Evidence,Review,Document,ebc879f7c2acbb1556d54943e6236e47ede2aaa9f83a433318dd70d5d2978cf8,2217
ecss-ml-assurance-workbench/docs/week-8-production-readiness.md,Review Evidence,Review,Document,82f0da7a5565a5f5e3ac58fbb2205b92e0693c9fcb5da2544843f6da4fbd079c,698
ecss-ml-assurance-workbench/frontend/src/components/features/__tests__/FindingsExplorer.test.tsx,Unit Test Evidence,Test,Software Component,b384f654e514983c249e623fca9f7da14a71866fc99a4bc8f00e9a2be19cc36c,3079
ecss-ml-assurance-workbench/frontend/src/pages/__tests__/assurance.test.tsx,Unit Test Evidence,Test,Software Component,f81e50f649a9931b5c1b3dab3e03282949b69f8f3a08a36fcbd20412067b1292,4356
ecss-ml-assurance-workbench/frontend/src/pages/__tests__/pages.test.tsx,Unit Test Evidence,Test,Software Component,3a9e2d7526f6394514dc589efae6ae461a26b817dfc1438f15dc9eb79be3f9d5,7135
ecss-ml-assurance-workbench/frontend/src/pages/__tests__/portfolio.test.tsx,Unit Test Evidence,Test,Software Component,52cce405eaf5d64502dda3dd8ca1ef0d32817c5e31f04a9fda222136f934e5be,6669
ecss-ml-assurance-workbench/frontend/src/pages/site/__tests__/site.test.tsx,Unit Test Evidence,Test,Software Component,5716ac60a8046199b7a3123534d8a95fb2bf2f52214bb2b7aa5c34d4b285f6dc,3848
ecss-ml-assurance-workbench/portfolio/CV_PROJECT_DESCRIPTION.md,Review Evidence,Review,Document,3d9abf2a45f29216af07e0c7b059c06a36fdd70705d140b929d9396c5d568235,1340
ecss-ml-assurance-workbench/portfolio/DEMO_SCRIPT.md,Review Evidence,Review,Document,6bc24c1cd422670916f96359939df3af67ce4c7c8c55c641dbd3cb54ce83f8e7,539
ecss-ml-assurance-workbench/portfolio/INTERVIEW_TALK_TRACK.md,Review Evidence,Review,Document,edfbf583ca7002a120b3cf6378cec62664173edcc2fb0ae2a11aee33059229c9,726
ecss-ml-assurance-workbench/portfolio/LINKEDIN_PROJECT_DESCRIPTION.md,Review Evidence,Review,Document,0cbacce86622a45a8ce3304368047f095d8129845c166e2b334ed80c6f431d09,607
ecss-ml-assurance-workbench/portfolio/PROJECT_OVERVIEW.md,Review Evidence,Review,Document,247a19e5bc527317e7955bf1b0e561fd7df5f8ecbdac4d944be8267490b98512,805
ecss-ml-assurance-workbench/portfolio/SCREENSHOT_PLAN.md,Review Evidence,Review,Document,45cd75f49c62ba05cc7b5541afbaa0aa9b805810f7b1d8adef8733096b63ce93,360
ecss-ml-assurance-workbench/portfolio/SKILLS_DEMONSTRATED.md,Review Evidence,Review,Document,94c030e39b4801dc4a377df9fe346a8165c69522d3d7b6597137aa0bbb6108cb,666
ecss-ml-assurance-workbench/portfolio/TECHNICAL_SUMMARY.md,Review Evidence,Review,Document,462719a5fbd0d4d637da9255f7599594f93a2a29724f7c2db7a243929b8b0f38,816
ecss-ml-assurance-workbench/portfolio/gnc-sensor-fusion-safety-cage-case-study.md,Review Evidence,Review,Document,bd94162e112f32645fff390d1af08c7f20cab17c4528ba0f8a4ce73ab1ba6fb4,1285
ecss-ml-assurance-workbench/portfolio/real-time-embedded-ai-case-study.md,Review Evidence,Review,Document,2afd93bcd03b0f9775687b75cc150e854e374bc4c337285e5514a27790878daa,1349
ecss-ml-assurance-workbench/release/backup-20260902T124655Z.zip,Configuration Management Evidence,Test,Process,e79f078844574de7d288992a43f4941d67d6c0dfb7171bd7f0c12831896eae8e,58277
ecss-ml-assurance-workbench/release/quality-gate-report.json,Verification Closure Evidence,Test,Process,c5fb7577c0bc98af8f19b6d1d8ae899a23d8e7d5ce2cbf08d825f36a02104a23,4450
ecss-ml-assurance-workbench/release/quality-gate-report.md,Verification Closure Evidence,Test,Process,aa47c69206bd55ad9ec4a55a33260759e2f6158a38272a39168d2ec1f0523dd0,370
ecss-ml-assurance-workbench/security/sbom.json,Tool Qualification or Tool Confidence Evidence,Analysis,Tool or Environment,b8030e1ad2ebde3ac0d518c9bf599982f7cc52238b096da33ee150545670a107,960
